Brand,Model,Rank,Benchmark,Samples,URL
AMD,RX 5500-XT,69,58.3,27041,https://gpu.userbenchmark.com/AMD-RX-5500-XT/Rating/4060
AMD,RX 5500,70,57.9,121,https://gpu.userbenchmark.com/AMD-RX-5500/Rating/4059
Nvidia,GTX 1660-Ti (Mobile Max-Q),71,57.5,6424,https://gpu.userbenchmark.com/SpeedTest/789578/NVIDIA-GeForce-GTX-1660-Ti-with-Max-Q-Design
Nvidia,GTX 1060-6GB,72,57,1047709,https://gpu.userbenchmark.com/Nvidia-GTX-1060-6GB/Rating/3639
Nvidia,GTX 780-Ti,73,55.9,23097,https://gpu.userbenchmark.com/Nvidia-GTX-780-Ti/Rating/2165
AMD,R9 390X,74,55.5,21368,https://gpu.userbenchmark.com/AMD-R9-390X/Rating/3497
AMD,RX 580,75,55.3,623105,https://gpu.userbenchmark.com/AMD-RX-580/Rating/3923
AMD,R9 Nano,76,54.8,452,https://gpu.userbenchmark.com/SpeedTest/58413/AMD-Radeon-TM-R9-Fury
AMD,R9 290X,77,52.9,25875,https://gpu.userbenchmark.com/AMD-R9-290X/Rating/2166
Nvidia,GTX Titan Black,78,52.9,2687,https://gpu.userbenchmark.com/Nvidia-GTX-Titan-Black/Rating/3158
Nvidia,GTX 1060-3GB,79,52.8,406996,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
AMD,R9 295X2 (CrossFire Disabled),80,50.8,2252,https://gpu.userbenchmark.com/SpeedTest/11791/AMD-Radeon-R9-200
AMD,R9 390,81,50.6,70493,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
Nvidia,GTX 970,82,50.4,648344,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
AMD,RX 480,83,48.4,173514,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
Nvidia,GTX 780,84,47.5,32393,https://gpu.userbenchmark.com/Nvidia-GTX-780/Rating/2164
AMD,R9 290,85,47.5,53139,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
Nvidia,GTX Titan,86,47.5,4257,https://gpu.userbenchmark.com/Nvidia-GTX-Titan/Rating/2191
Nvidia,GTX 780 4GB,87,47.2,795,https://gpu.userbenchmark.com/SpeedTest/11282/NVIDIA-GeForce-GTX-780
AMD,RX 570,88,47,296565,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
Nvidia,GTX 1060 (Mobile),89,46.6,143615,https://gpu.userbenchmark.com/SpeedTest/164336/NVIDIA-GeForce-GTX-1060
Nvidia,Quadro K6000,90,46.2,643,https://gpu.userbenchmark.com/Nvidia-Quadro-K6000/Rating/2837
Nvidia,GTX 1060 (Mobile Max-Q),91,43.5,27864,https://gpu.userbenchmark.com/SpeedTest/325746/NVIDIA-GeForce-GTX-1060-with-Max-Q-Design
AMD,Radeon Pro 5500M,92,43.2,1154,https://gpu.userbenchmark.com/SpeedTest/960765/AMD-Radeon-Pro-5500M
Nvidia,GTX 1650,93,43.1,84344,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
Nvidia,GTX 1650-Ti (Mobile),94,42.1,7079,https://gpu.userbenchmark.com/SpeedTest/1091296/NVIDIA-GeForce-GTX-1650-Ti
Nvidia,GTX 1650 (Mobile),95,41.8,40169,https://gpu.userbenchmark.com/SpeedTest/775280/NVIDIA-GeForce-GTX-1650
AMD,RX 470,96,41.6,68681,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
Nvidia,Quadro P2000,97,41,9295,https://gpu.userbenchmark.com/SpeedTest/257811/NVIDIA-Quadro-P2000
Nvidia,GTX 980M,98,40.7,13213,https://gpu.userbenchmark.com/SpeedTest/15596/NVIDIA-GeForce-GTX-980M
Nvidia,GeForce GTX 690 (SLI Disabled),99,40.3,4925,https://gpu.userbenchmark.com/SpeedTest/8241/NVIDIA-GeForce-GTX-690
AMD,R9 380X,100,39.8,16012,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
AMD,HD 7970,101,39.5,5901,https://gpu.userbenchmark.com/AMD-HD-7970/Rating/2163
AMD,R9 280X,102,39,79645,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
Nvidia,Quadro P3000,103,38.9,720,https://gpu.userbenchmark.com/SpeedTest/264483/NVIDIA-Quadro-P3000
AMD,Radeon RX Vega M GH,104,37,2402,https://gpu.userbenchmark.com/SpeedTest/422266/Radeon-RX-Vega-M-GH-Graphics
Nvidia,GTX 1650 (Mobile Max-Q),105,36.7,3748,https://gpu.userbenchmark.com/SpeedTest/790279/NVIDIA-GeForce-GTX-1650-with-Max-Q-Design
Nvidia,GTX 770,106,36.4,116527,https://gpu.userbenchmark.com/Nvidia-GTX-770/Rating/2174
AMD,Radeon Pro 5300M,108,36.3,496,https://gpu.userbenchmark.com/SpeedTest/965657/AMD-Radeon-Pro-5300M
AMD,HD 7990 (CrossFire Disabled),109,36,982,https://gpu.userbenchmark.com/SpeedTest/7985/AMD-Radeon-HD-7900
AMD,R9 380,110,34.6,68964,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
Nvidia,GTX 680,111,34,28684,https://gpu.userbenchmark.com/Nvidia-GTX-680/Rating/3148
Nvidia,GTX 960,112,33.7,335015,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
AMD,R9 285,114,33.5,4433,https://gpu.userbenchmark.com/AMD-R9-285/Rating/3174
AMD,R9 280,115,32.8,32908,https://gpu.userbenchmark.com/AMD-R9-280/Rating/2241
Nvidia,Quadro K5200,116,32.2,1089,https://gpu.userbenchmark.com/SpeedTest/20811/NVIDIA-Quadro-K5200
Nvidia,GTX 970M,117,31.7,21411,https://gpu.userbenchmark.com/SpeedTest/17319/NVIDIA-GeForce-GTX-970M
